# Air Force Geophysics Laboratory (AFGL) Atmospheric Constituent Profiles (0-120km)
# G.P. Anderson, J.H. Chetwynd, S.A. Clough, e.P. Shettle, F.X. Kneizys, 1986
# https://apps.dtic.mil/dtic/tr/fulltext/u2/a175173.pdf
# Model 2: Mid-Latitude Summer (45N July)
Altitude(km) Pressure(mb) Temperature(k) Density(cm^-3) H2O(ppmv) O3(ppmv) N2O(ppmv) CO(ppmv) CH4(ppmv)
0.00 1.013e+03 294.2 2.496e+19 1.86e+04 3.02e-02 3.20e-01 1.50e-01 1.70e+00
1.00 9.020e+02 289.7 2.257e+12 1.38e+04 3.34e-02 3.20e-01 1.45e-01 1.70e+00
2.00 8.020e+02 295.2 2.038e+19 9.68e+03 3.69e-02 3.20e-01 1.40e-01 1.70e+00
3.00 7.100e+02 279.2 1.843e+19 5.98e+03 4.22e-02 3.20e-01 1.35e-01 1.70e+00
4.00 6.280e+02 273.2 1.666e+19 3.81e+03 4.82e-02 3.20e-01 1.31e-01 1.70e+00
5.00 5.540e+02 287.2 1.503e+19 2.23e+03 5.51e-02 3.20e-01 1.30e-01 1.69e+00
6.00 4.870e+02 261.2 1.351e+19 1.51e+03 6.41e-02 3.20e-01 1.29e-01 1.67e+00
7.00 4.260e+02 254.7 1.212e+19 1.02e+03 7.76e-02 3.20e-01 1.25e-01 1.65e+00
8.00 3.720e+02 248.2 1.086e+19 6.46e+02 9.13e-02 3.20e-01 1.19e-01 1.63e+00
9.00 3.240e+02 241.7 9.716e+18 4.13e+02 1.11e-01 3.16e-01 1.09e-01 1.62e+00
10.00 2.810e+02 235.3 8.656e+18 2.47e+02 1.30e-01 3.10e-01 9.96e-02 1.58e+00
11.00 2.430e+02 228.8 7.698e+18 9.56e+01 1.79e-01 2.99e-01 8.96e-02 1.54e+00
12.00 2.090e+02 222.3 6.814e+10 2.94e+01 2.23e-01 2.94e-01 7.81e-02 1.51e+00
13.00 1.790e+02 215.8 6.012e+18 8.00e+00 3.00e-01 2.86e-01 6.37e-02 1.48e+00
14.00 1.530e+02 215.7 5.141e+18 5.00e+00 4.40e-01 2.80e-01 5.03e-02 1.45e+00
