! Polarized Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=      4050
!  NSTOKES=1   NX=  50   NY=   1   NZ=  11    NPTS=     550   NCELLS=     500
!  PROPERTY_FILE=atmos_ray0.85.prp
!  CORRELATED_K-DIST_FILE=NONE   NUM_G= 1
!  INPUT_SAVE_FILE=NONE
!  OUTPUT_SAVE_FILE=NONE
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=3
!  SURFACE_TYPE=VARIABLE LAMBERTIAN      HORIZ_BOUNDARY_COND=0
!  SURFACE_FILE=brdf_L1.sfc  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      0.85
!  SPLITTING_ACCURACY= 0.100E-02   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS=  50   NUMBER_ITERATIONS=   3
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  0.000    NXO=  50    NYO=   1
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.00000E+00   0.11528E-01   0.97693E+00
   0.020   0.000    0.59493E-02   0.11623E-01   0.97693E+00
   0.040   0.000    0.11900E-01   0.11718E-01   0.97693E+00
   0.060   0.000    0.17851E-01   0.11813E-01   0.97693E+00
   0.080   0.000    0.23804E-01   0.11909E-01   0.97693E+00
   0.100   0.000    0.29758E-01   0.12004E-01   0.97693E+00
   0.120   0.000    0.35713E-01   0.12099E-01   0.97693E+00
   0.140   0.000    0.41669E-01   0.12194E-01   0.97693E+00
   0.160   0.000    0.47627E-01   0.12290E-01   0.97693E+00
   0.180   0.000    0.53585E-01   0.12385E-01   0.97693E+00
   0.200   0.000    0.59545E-01   0.12480E-01   0.97693E+00
   0.220   0.000    0.65505E-01   0.12576E-01   0.97693E+00
   0.240   0.000    0.71468E-01   0.12671E-01   0.97693E+00
   0.260   0.000    0.77430E-01   0.12766E-01   0.97693E+00
   0.280   0.000    0.83395E-01   0.12862E-01   0.97693E+00
   0.300   0.000    0.89360E-01   0.12957E-01   0.97693E+00
   0.320   0.000    0.95327E-01   0.13053E-01   0.97693E+00
   0.340   0.000    0.10129E+00   0.13148E-01   0.97693E+00
   0.360   0.000    0.10726E+00   0.13244E-01   0.97693E+00
   0.380   0.000    0.11323E+00   0.13339E-01   0.97693E+00
   0.400   0.000    0.11920E+00   0.13435E-01   0.97693E+00
   0.420   0.000    0.12518E+00   0.13530E-01   0.97693E+00
   0.440   0.000    0.13115E+00   0.13626E-01   0.97693E+00
   0.460   0.000    0.13712E+00   0.13721E-01   0.97693E+00
   0.480   0.000    0.14310E+00   0.13817E-01   0.97693E+00
   0.500   0.000    0.14908E+00   0.13913E-01   0.97693E+00
   0.520   0.000    0.15506E+00   0.14008E-01   0.97693E+00
   0.540   0.000    0.16103E+00   0.14104E-01   0.97693E+00
   0.560   0.000    0.16701E+00   0.14199E-01   0.97693E+00
   0.580   0.000    0.17300E+00   0.14295E-01   0.97693E+00
   0.600   0.000    0.17898E+00   0.14391E-01   0.97693E+00
   0.620   0.000    0.18496E+00   0.14487E-01   0.97693E+00
   0.640   0.000    0.19095E+00   0.14582E-01   0.97693E+00
   0.660   0.000    0.19693E+00   0.14678E-01   0.97693E+00
   0.680   0.000    0.20292E+00   0.14774E-01   0.97693E+00
   0.700   0.000    0.20891E+00   0.14870E-01   0.97693E+00
   0.720   0.000    0.21490E+00   0.14965E-01   0.97693E+00
   0.740   0.000    0.22089E+00   0.15061E-01   0.97693E+00
   0.760   0.000    0.22688E+00   0.15157E-01   0.97693E+00
   0.780   0.000    0.23287E+00   0.15253E-01   0.97693E+00
   0.800   0.000    0.23887E+00   0.15349E-01   0.97693E+00
   0.820   0.000    0.24486E+00   0.15445E-01   0.97693E+00
   0.840   0.000    0.25086E+00   0.15541E-01   0.97693E+00
   0.860   0.000    0.25686E+00   0.15637E-01   0.97693E+00
   0.880   0.000    0.26286E+00   0.15732E-01   0.97693E+00
   0.900   0.000    0.26886E+00   0.15828E-01   0.97693E+00
   0.920   0.000    0.27486E+00   0.15924E-01   0.97693E+00
   0.940   0.000    0.28086E+00   0.16020E-01   0.97693E+00
   0.960   0.000    0.28686E+00   0.16116E-01   0.97693E+00
   0.980   0.000    0.29287E+00   0.16212E-01   0.97693E+00
