#name=An isolated stratocumulus water cloud out of the entire cloud field.
#original_cloud_data=@storm/data2/gmatheou/Factory/jplles/rev153/rico.20.smagorinsky/MISR01/An
#resampled_cloud_data_grid_size=20,20,40m
32 36 25
0.020 0.020     0.440     0.480     0.520     0.560     0.600     0.640     0.680     0.720     0.760     0.800     0.840     0.880     0.920     0.960     1.000     1.040     1.080     1.120     1.160     1.200     1.240     1.280     1.320     1.360     1.400
2 2 4    0.00675 12.52100
2 11 4    0.01115 12.52100
2 12 4    0.01554 12.52100
2 13 4    0.00718 12.52100
2 22 11    0.03036 16.32100
2 23 9    0.00162 15.53200
2 23 10    0.07247 15.90400
2 23 11    0.14043 16.32100
2 24 7    0.04903 14.60700
2 24 9    0.02333 15.53200
2 24 10    0.06015 15.90400
2 24 11    0.14200 16.32100
2 25 6    0.09707 14.00100
2 25 7    0.09995 14.60700
2 25 10    0.02264 15.90400
2 25 11    0.05168 16.32100
2 26 6    0.02916 14.00100
2 26 7    0.05059 14.60700
2 27 5    0.02000 13.31400
2 27 6    0.01144 14.00100
2 28 4    0.00926 12.52100
2 28 5    0.01078 13.31400
3 2 4    0.00267 12.52100
3 8 4    0.00125 12.52100
3 9 4    0.00167 12.52100
3 11 4    0.01169 12.52100
3 12 4    0.01332 12.52100
3 19 15    0.01759 17.42500
3 19 16    0.00138 17.59300
3 20 6    0.05279 14.00100
3 21 10    0.05251 15.90400
3 21 11    0.01707 16.32100
3 22 9    0.10296 15.53200
3 22 10    0.31618 15.90400
3 22 11    0.25853 16.32100
3 23 5    0.01013 13.31400
3 23 7    0.02180 14.60700
3 23 9    0.09706 15.53200
3 23 10    0.23399 15.90400
3 23 11    0.40391 16.32100
3 23 12    0.04339 16.75600
3 24 5    0.03958 13.31400
3 24 6    0.13924 14.00100
3 24 7    0.21447 14.60700
3 24 8    0.06843 15.10600
3 24 9    0.02890 15.53200
3 24 10    0.01456 15.90400
3 24 11    0.32526 16.32100
3 24 12    0.10512 16.75600
3 25 6    0.06662 14.00100
3 25 7    0.10621 14.60700
3 25 8    0.06747 15.10600
3 25 10    0.03221 15.90400
3 25 11    0.28970 16.32100
3 25 12    0.05593 16.75600
3 26 8    0.00781 15.10600
3 26 10    0.09913 15.90400
3 26 11    0.21582 16.32100
3 27 4    0.02007 12.52100
3 27 10    0.03678 15.90400
4 2 4    0.00849 12.52100
4 2 5    0.00532 13.31400
4 3 5    0.01225 13.31400
4 5 4    0.00678 12.52100
4 9 4    0.00242 12.52100
4 15 10    0.00586 15.90400
4 15 11    0.09164 16.32100
4 16 11    0.03850 16.32100
4 16 12    0.00253 16.75600
4 16 15    0.03344 17.42500
4 16 16    0.00278 17.59300
4 17 15    0.23608 17.42500
4 17 16    0.31320 17.59300
4 18 15    0.41553 17.42500
4 18 16    0.57894 17.59300
4 18 17    0.00914 17.79400
4 19 6    0.06780 14.00100
4 19 15    0.42132 17.42500
4 19 16    0.67330 17.59300
4 19 17    0.12560 17.79400
4 20 5    0.00194 13.31400
4 20 6    0.13065 14.00100
4 20 15    0.34490 17.42500
4 20 16    0.70765 17.59300
4 20 17    0.20601 17.79400
4 21 9    0.14978 15.53200
4 21 10    0.33600 15.90400
4 21 11    0.15420 16.32100
4 21 15    0.22236 17.42500
4 21 16    0.61313 17.59300
4 21 17    0.20344 17.79400
4 22 5    0.00176 13.31400
4 22 9    0.28217 15.53200
4 22 10    0.29775 15.90400
4 22 11    0.38518 16.32100
4 22 12    0.09363 16.75600
4 22 15    0.10382 17.42500
4 22 16    0.40689 17.59300
4 22 17    0.14471 17.79400
4 23 5    0.08359 13.31400
4 23 6    0.04478 14.00100
4 23 7    0.17356 14.60700
4 23 8    0.16146 15.10600
4 23 9    0.10884 15.53200
4 23 11    0.17520 16.32100
4 23 12    0.22321 16.75600
4 23 16    0.18394 17.59300
4 23 17    0.08501 17.79400
4 24 5    0.03978 13.31400
4 24 6    0.21182 14.00100
4 24 7    0.20307 14.60700
4 24 8    0.13805 15.10600
4 24 11    0.08806 16.32100
4 24 12    0.28158 16.75600
4 25 4    0.00173 12.52100
4 25 6    0.02386 14.00100
4 25 11    0.14510 16.32100
4 25 12    0.20332 16.75600
4 26 4    0.00765 12.52100
4 26 9    0.01573 15.53200
4 26 10    0.09117 15.90400
4 26 11    0.30000 16.32100
4 26 12    0.09926 16.75600
4 27 4    0.00192 12.52100
4 27 9    0.00506 15.53200
4 27 10    0.14852 15.90400
4 27 11    0.17380 16.32100
4 33 8    0.06463 15.10600
4 33 9    0.03114 15.53200
4 34 5    0.02674 13.31400
4 34 6    0.07762 14.00100
4 34 7    0.03559 14.60700
4 34 8    0.03658 15.10600
4 34 9    0.02370 15.53200
4 35 6    0.01004 14.00100
5 2 4    0.01151 12.52100
5 3 4    0.01585 12.52100
5 3 5    0.01655 13.31400
5 4 4    0.01357 12.52100
5 4 5    0.02269 13.31400
5 5 4    0.01397 12.52100
5 5 5    0.00984 13.31400
5 6 4    0.00520 12.52100
5 6 5    0.00773 13.31400
5 7 5    0.00313 13.31400
5 14 9    0.10293 15.53200
5 14 10    0.06515 15.90400
5 14 11    0.26604 16.32100
5 14 12    0.05044 16.75600
5 15 9    0.06699 15.53200
5 15 10    0.19538 15.90400
5 15 11    0.43034 16.32100
5 15 12    0.24345 16.75600
5 15 15    0.14293 17.42500
5 16 10    0.06519 15.90400
5 16 11    0.36726 16.32100
5 16 12    0.38974 16.75600
5 16 14    0.05781 17.26100
5 16 15    0.56791 17.42500
5 16 16    0.53064 17.59300
5 17 11    0.06186 16.32100
5 17 12    0.28646 16.75600
5 17 14    0.10148 17.26100
5 17 15    0.73506 17.42500
5 17 16    0.97850 17.59300
5 17 17    0.23218 17.79400
5 18 14    0.10924 17.26100
5 18 15    0.78119 17.42500
5 18 16    1.09630 17.59300
5 18 17    0.43186 17.79400
5 19 5    0.03781 13.31400
5 19 6    0.00516 14.00100
5 19 14    0.06244 17.26100
5 19 15    0.71320 17.42500
