# An isolated stratocumulus water cloud out of the entire cloud field of rico.20.smagorinsky/MISR01/An
122,106,39      # nx,ny,nz
0.020,0.020     # dx,dy [km, km]
0.440,0.480,0.520,0.560,0.600,0.640,0.680,0.720,0.760,0.800,0.840,0.880,0.920,0.960,1.000,1.040,1.080,1.120,1.160,1.200,1.240,1.280,1.320,1.360,1.400,1.440,1.480,1.520,1.560,1.600,1.640,1.680,1.720,1.760,1.800,1.840,1.880,1.920,1.960   # altitude levels [km]
i,j,k,lwc,reff
1,33,4,0.01110,13.314
1,34,3,0.00864,12.521
1,34,4,0.03770,13.314
1,35,4,0.03187,13.314
1,36,4,0.02358,13.314
1,37,4,0.08166,13.314
1,38,4,0.10088,13.314
1,38,5,0.02534,14.001
1,39,4,0.05275,13.314
1,39,5,0.01013,14.001
1,40,4,0.00462,13.314
1,41,5,0.00676,14.001
1,42,5,0.03736,14.001
1,43,5,0.00554,14.001
1,45,5,0.00437,14.001
1,46,3,0.02033,12.521
1,46,4,0.00103,13.314
1,46,5,0.00368,14.001
1,47,3,0.03084,12.521
1,47,4,0.05011,13.314
1,47,5,0.01173,14.001
1,48,3,0.02087,12.521
1,48,4,0.07830,13.314
1,48,5,0.01947,14.001
1,49,3,0.00943,12.521
1,49,4,0.08313,13.314
1,49,5,0.01328,14.001
1,50,3,0.01009,12.521
1,50,4,0.08676,13.314
1,50,5,0.01063,14.001
1,51,3,0.01650,12.521
1,51,4,0.09149,13.314
1,51,5,0.01199,14.001
1,52,3,0.02033,12.521
1,52,4,0.07558,13.314
1,52,5,0.00723,14.001
1,53,3,0.01551,12.521
1,53,4,0.03122,13.314
2,1,2,0.00153,11.685
2,34,4,0.01676,13.314
2,35,4,0.00970,13.314
2,36,4,0.00412,13.314
2,37,4,0.05529,13.314
2,38,4,0.06662,13.314
2,38,5,0.01765,14.001
2,39,4,0.03166,13.314
2,39,5,0.02645,14.001
2,40,4,0.01716,13.314
2,40,5,0.02482,14.001
2,41,4,0.00897,13.314
2,41,5,0.02347,14.001
2,42,5,0.02022,14.001
2,43,5,0.01200,14.001
2,46,3,0.01341,12.521
2,46,4,0.00158,13.314
2,46,5,0.00458,14.001
2,47,3,0.02333,12.521
2,47,4,0.04519,13.314
2,47,5,0.00845,14.001
2,48,3,0.02127,12.521
2,48,4,0.07250,13.314
2,48,5,0.01031,14.001
2,49,3,0.01612,12.521
2,49,4,0.07614,13.314
2,49,5,0.00834,14.001
2,50,3,0.01368,12.521
2,50,4,0.06606,13.314
2,51,3,0.01799,12.521
2,51,4,0.05795,13.314
2,52,3,0.02451,12.521
2,52,4,0.04621,13.314
2,53,3,0.01751,12.521
2,53,4,0.01887,13.314
3,37,4,0.05277,13.314
3,38,4,0.06036,13.314
3,38,5,0.03520,14.001
3,39,4,0.03404,13.314
3,39,5,0.06096,14.001
3,40,4,0.02745,13.314
3,40,5,0.06628,14.001
3,41,3,0.00739,12.521
3,41,4,0.02375,13.314
3,41,5,0.02908,14.001
3,42,3,0.00750,12.521
3,42,4,0.00703,13.314
3,42,5,0.01685,14.001
3,43,5,0.01363,14.001
3,44,5,0.00911,14.001
3,46,3,0.00382,12.521
3,47,3,0.00883,12.521
3,47,4,0.00729,13.314
3,48,3,0.00963,12.521
3,48,4,0.01152,13.314
3,49,3,0.00577,12.521
3,49,4,0.01293,13.314
3,50,3,0.00196,12.521
3,50,4,0.01168,13.314
3,51,3,0.00312,12.521
3,51,4,0.01204,13.314
3,52,3,0.01052,12.521
3,52,4,0.00991,13.314
3,53,3,0.00874,12.521
4,10,30,0.00914,20.210
4,36,4,0.00129,13.314
4,37,4,0.08271,13.314
4,38,4,0.07823,13.314
4,38,5,0.05544,14.001
4,39,4,0.04605,13.314
4,39,5,0.08891,14.001
4,40,3,0.01515,12.521
4,40,4,0.04907,13.314
4,40,5,0.06115,14.001
4,41,3,0.01923,12.521
4,41,4,0.04127,13.314
4,41,5,0.02880,14.001
4,42,3,0.00289,12.521
4,42,4,0.01711,13.314
4,42,5,0.00150,14.001
5,9,30,0.04940,20.210
5,10,29,0.09116,19.947
5,10,30,0.27714,20.210
5,11,29,0.09824,19.947
5,11,30,0.22755,20.210
5,12,29,0.09787,19.947
5,12,30,0.15012,20.210
5,13,29,0.06167,19.947
5,13,30,0.22299,20.210
5,14,29,0.02272,19.947
5,14,30,0.10629,20.210
5,36,4,0.01387,13.314
5,37,4,0.10545,13.314
5,38,3,0.00392,12.521
5,38,4,0.07271,13.314
5,38,5,0.03168,14.001
5,39,3,0.00901,12.521
5,39,4,0.04807,13.314
5,39,5,0.04738,14.001
5,40,3,0.01813,12.521
5,40,4,0.05795,13.314
5,40,5,0.04455,14.001
5,41,3,0.00809,12.521
5,41,4,0.04762,13.314
5,41,5,0.02468,14.001
5,42,4,0.01260,13.314
6,9,29,0.08199,19.947
6,9,30,0.29209,20.210
6,9,31,0.02854,20.483
6,10,29,0.22535,19.947
6,10,30,0.44791,20.210
6,10,31,0.14785,20.483
6,11,29,0.23617,19.947
6,11,30,0.48380,20.210
6,11,31,0.11540,20.483
6,12,29,0.20432,19.947
6,12,30,0.48265,20.210
6,12,31,0.12735,20.483
6,13,28,0.00408,19.688
6,13,29,0.21447,19.947
6,13,30,0.51027,20.210
6,13,31,0.14243,20.483
6,14,28,0.00556,19.688
6,14,29,0.21210,19.947
6,14,30,0.45100,20.210
6,14,31,0.14045,20.483
6,15,29,0.03537,19.947
6,15,30,0.20054,20.210
6,36,4,0.01244,13.314
6,37,4,0.05821,13.314
6,38,3,0.01186,12.521
6,38,4,0.02624,13.314
6,39,3,0.01255,12.521
6,39,4,0.03123,13.314
6,39,5,0.01061,14.001
6,40,3,0.00506,12.521
6,40,4,0.05535,13.314
6,40,5,0.03110,14.001
6,41,4,0.03422,13.314
6,41,5,0.00527,14.001
7,8,30,0.10941,20.210
7,8,31,0.02137,20.483
7,9,29,0.05670,19.947
7,9,30,0.30817,20.210
7,9,31,0.19988,20.483
7,10,29,0.14932,19.947
7,10,30,0.29666,20.210
7,10,31,0.27454,20.483
7,11,29,0.14149,19.947
7,11,30,0.34820,20.210
7,11,31,0.23165,20.483
7,12,29,0.12328,19.947
7,12,30,0.37034,20.210
7,12,31,0.34168,20.483
7,13,28,0.01687,19.688
7,13,29,0.17594,19.947
7,13,30,0.40037,20.210
7,13,31,0.29890,20.483
